Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison
ENSG00000122218.19,5869.1943674248405,0.13450341899351453,0.07499485634512963,0.07300108351719024,0.10380303287645552,HuT78_vs_HH
ENSG00000127616.24,8405.353718270237,-0.12737546200647032,0.07134327161090803,0.07300860757409704,0.10380549243571019,HuT78_vs_HH
ENSG00000305635.1,16.333394749297586,-0.826116021240773,0.540477171019312,0.07318887275417342,0.10405353982945931,HuT78_vs_HH
ENSG00000204673.13,1106.7318447982677,0.1410215184310511,0.07892508201054274,0.07327500394510915,0.10416772700179577,HuT78_vs_HH
ENSG00000112893.12,1581.7746562002912,-0.15332739859510486,0.08559543270512529,0.07332534337723677,0.10423101853552302,HuT78_vs_HH
ENSG00000275880.1,13.58496050936898,-1.2871337737710817,1.0768379835962791,0.07336132783933783,0.10427389624260054,HuT78_vs_HH
ENSG00000158715.8,114.40361402067923,-0.3806060516703786,0.21818349756641608,0.07343284174975265,0.10436726377999356,HuT78_vs_HH
ENSG00000206754.1,9.165834436695542,-0.9293996549829826,0.6389874998674463,0.07350361348062388,0.10445956175673306,HuT78_vs_HH
ENSG00000163430.15,7.321117229771624,1.2081012410375114,1.0059767064957996,0.07352111545391873,0.10447614685150743,HuT78_vs_HH
ENSG00000148840.13,2745.1755727598443,-0.14653675404991234,0.08231773436250474,0.07358836784921183,0.10456342084538625,HuT78_vs_HH
ENSG00000092140.18,640.7285939412798,-0.19251850409528232,0.1087061221498389,0.07366666487083741,0.10466637331755509,HuT78_vs_HH
ENSG00000304242.1,9.361905074899152,1.1415205852470158,1.5108788529444321,0.07387666407707975,0.10495641847271085,HuT78_vs_HH
ENSG00000134057.17,6141.972752578286,0.21995179401779152,0.12359076272964975,0.07390628753846046,0.10499017851490913,HuT78_vs_HH
ENSG00000235109.10,46.85239018107765,-0.5431589324068032,0.32189744562593503,0.07393908734591405,0.10502844511592532,HuT78_vs_HH
ENSG00000282885.4,22.32954696871321,-0.6887886828461587,0.42483186224284425,0.07399569578556005,0.1051005224766755,HuT78_vs_HH
ENSG00000198931.13,3405.0876968556404,-0.10627301823666639,0.05969533797545466,0.07402179997354191,0.1051292648268593,HuT78_vs_HH
ENSG00000214401.7,8.615014760809489,-0.975565576810163,0.6995358361001108,0.07405612827183264,0.1051696819651115,HuT78_vs_HH
ENSG00000138495.9,1145.83210621668,-0.19261661810788483,0.10856777050119659,0.07416741371525183,0.1053193735501535,HuT78_vs_HH
ENSG00000297599.1,12.64021748938308,-0.9464813606951005,0.6662648661453738,0.07422136134905936,0.10538762689770932,HuT78_vs_HH
ENSG00000153339.17,1064.996082177341,0.16982200411126497,0.09568511324327313,0.07438196913582137,0.10560730520433032,HuT78_vs_HH
ENSG00000168026.21,47.8485850951329,-0.5861161025435588,0.35161758529350723,0.07442408919330837,0.10565873348903396,HuT78_vs_HH
ENSG00000104356.13,1306.207512776711,-0.22316461049018327,0.12633583896083914,0.07445456265683296,0.10569362044351527,HuT78_vs_HH
ENSG00000158169.16,497.57317838079916,0.2354193050002904,0.13316868437789234,0.07448889941937296,0.10573398566659273,HuT78_vs_HH
ENSG00000295934.1,39.78820112727329,0.6758805083948287,0.415867310146954,0.0745096911678631,0.1057551194162785,HuT78_vs_HH
