Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000137078.12,630.6265644344895,14.312497634024378,3.0713414805837713,3.8474476067845782e-28,3.1661471692947046e-27,HuT78_vs_HH,ENSG00000137078,SIT1,protein_coding,Up
ENSG00000198829.8,353.14766965170116,14.294313095726581,3.2223405158075495,4.935706640724817e-27,3.874810888193913e-26,HuT78_vs_HH,ENSG00000198829,SUCNR1,protein_coding,Up
ENSG00000148834.15,1520.1353488852985,14.266873691293819,2.6754354226740173,9.202942783029326e-30,8.08189803715541e-29,HuT78_vs_HH,ENSG00000148834,GSTO1,protein_coding,Up
ENSG00000124785.11,429.2876635482053,14.264439690877827,2.9372457733780934,1.4682780853087147e-28,1.228594203564018e-27,HuT78_vs_HH,ENSG00000124785,NRN1,protein_coding,Up
ENSG00000128268.13,342.74975111417626,14.214734796173849,3.1788321461158637,3.7151203078403554e-27,2.935663381275902e-26,HuT78_vs_HH,ENSG00000128268,MGAT3,protein_coding,Up
ENSG00000135503.15,655.4604776276499,14.206270814138604,2.738217794323181,7.029944926422533e-29,5.9574959014597775e-28,HuT78_vs_HH,ENSG00000135503,ACVR1B,protein_coding,Up
ENSG00000115884.13,334.8836009231383,14.17895425761143,3.1855845841488972,1.555281812521249e-26,1.1953184758180255e-25,HuT78_vs_HH,ENSG00000115884,SDC1,protein_coding,Up
ENSG00000091490.13,972.9341450406107,14.17874445695607,2.7107310870426327,4.8945426371360856e-29,4.177500302253119e-28,HuT78_vs_HH,ENSG00000091490,SEL1L3,protein_coding,Up
ENSG00000198692.12,1294.2108179121865,14.146076838184102,3.298087324359198,1.3684773608847404e-11,4.8089980228030844e-11,HuT78_vs_HH,ENSG00000198692,EIF1AY,protein_coding,Up
ENSG00000107719.12,453.5276997883433,14.127234758193424,3.6890624123259528,4.3437084667482103e-10,1.3891027701141412e-9,HuT78_vs_HH,ENSG00000107719,PALD1,protein_coding,Up
ENSG00000151692.17,511.1228311686181,14.093361907046422,2.762051531886952,2.4190333052748485e-28,2.009132205099625e-27,HuT78_vs_HH,ENSG00000151692,RNF144A,protein_coding,Up
ENSG00000173801.19,1780.4670992351937,14.053701113593203,1.3592116820688138,8.217192217220369e-31,7.533827971929524e-30,HuT78_vs_HH,ENSG00000173801,JUP,protein_coding,Up
ENSG00000154451.17,538.5011011583326,14.033930091717199,2.8076973231230107,7.577675272632437e-28,6.159439769020423e-27,HuT78_vs_HH,ENSG00000154451,GBP5,protein_coding,Up
ENSG00000103489.14,578.5873584948415,14.028348722609724,2.7316053879648448,2.617485372957879e-28,2.1729495114244857e-27,HuT78_vs_HH,ENSG00000103489,XYLT1,protein_coding,Up
ENSG00000167880.10,294.05495311697433,14.004319464190694,3.1970017298565128,3.748172005150189e-26,2.82849627094632e-25,HuT78_vs_HH,ENSG00000167880,EVPL,protein_coding,Up
ENSG00000184937.18,455.5295069644632,13.987379525157957,3.5404584179943703,2.7197263588334374e-10,8.826793064945838e-10,HuT78_vs_HH,ENSG00000184937,WT1,protein_coding,Up
