"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000229519.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173662.22",0,1,1,0,1,0,0,1,0,0,0,0
"ENSG00000204859.15",683,745,439,427,382,690,456,507,316,489,495,599
"ENSG00000162413.18",3737,4778,2234,2065,1986,3687,1510,1537,644,744,812,1723
"ENSG00000295286.1",0,0,1,0,1,0,0,0,2,0,0,0
"ENSG00000304810.1",3,1,2,0,0,4,0,0,0,0,0,0
"ENSG00000116273.8",2176,2280,1082,1097,844,2377,489,603,955,1233,1155,641
"ENSG00000041988.18",705,711,539,450,447,600,327,404,343,361,354,469
"ENSG00000007923.19",4004,4456,3093,2920,2805,3813,3064,3013,1460,1824,1820,3285
"ENSG00000228750.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436.2",4,15,8,9,9,7,25,22,3,3,5,20
"ENSG00000171735.22",1470,1379,803,767,751,1376,507,512,530,628,497,649
"ENSG00000227950.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207056.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000310450.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237402.2",0,0,1,0,0,0,0,0,1,0,0,0
"ENSG00000237728.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000294314.1",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000225126.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000298973.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306883.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302704.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270171.1",1,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000270035.1",0,0,0,0,0,4,0,0,0,2,6,0
"ENSG00000269978.2",5,0,0,0,0,3,0,0,3,10,6,0
"ENSG00000300603.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000049245.14",429,552,276,265,330,482,850,1065,352,363,393,1114
"ENSG00000269925.1",3,11,1,5,1,5,6,4,2,1,5,2
