Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000239887.6,159.4099648245598,-12.817079947241854,3.2483667715191094,3.6320173781597227e-22,1.6990697232432042e-21,HuT78_vs_HH,ENSG00000239887,C1orf226,protein_coding,Down
ENSG00000118777.14,445.9120845434771,-12.780402399147379,3.242030477565379,3.5348366524071243e-22,1.6547961957910219e-21,HuT78_vs_HH,ENSG00000118777,ABCG2,protein_coding,Down
ENSG00000147889.19,1454.8794968933773,-12.769596474017513,1.3203137691890245,5.2766518101293794e-28,3.1402101845395527e-27,HuT78_vs_HH,ENSG00000147889,CDKN2A,protein_coding,Down
ENSG00000138061.15,5748.778290947529,-12.726681561139063,3.2433040653626386,1.6351049150234651e-21,7.420028676010035e-21,HuT78_vs_HH,ENSG00000138061,CYP1B1,protein_coding,Down
ENSG00000235098.11,1735.9781332966984,-12.723630895032434,3.254449011700154,8.503312849060344e-21,3.744043120331198e-20,HuT78_vs_HH,ENSG00000235098,ANKRD65,protein_coding,Down
ENSG00000188958.12,4446.978679320656,-12.716937483664298,0.6436394158266349,1.526433441736695e-84,3.610527594583366e-83,HuT78_vs_HH,ENSG00000188958,UTS2B,protein_coding,Down
ENSG00000170558.12,120.17130703972487,-12.714048381333727,3.2428962784042428,2.0534896761426507e-21,9.279865100266007e-21,HuT78_vs_HH,ENSG00000170558,CDH2,protein_coding,Down
ENSG00000166049.11,117.87061939479074,-12.695024586837931,3.2456132056102533,4.564004426780451e-21,2.0342910292144194e-20,HuT78_vs_HH,ENSG00000166049,PASD1,protein_coding,Down
ENSG00000139263.14,114.43376298616899,-12.64855334402699,3.2338149411384225,2.4098384605537785e-21,1.0863861866619647e-20,HuT78_vs_HH,ENSG00000139263,LRIG3,protein_coding,Down
ENSG00000163359.19,2922.591077203862,-12.545780258292805,0.5877567392804796,7.732411197894462e-99,2.3712121209919653e-97,HuT78_vs_HH,ENSG00000163359,COL6A3,protein_coding,Down
ENSG00000184564.12,107.28403298758744,-12.534121744808393,3.221669719294159,5.6328215460375215e-21,2.5012798367804778e-20,HuT78_vs_HH,ENSG00000184564,SLITRK6,protein_coding,Down
ENSG00000064692.22,106.19798240958987,-12.524797157310383,3.2202064649068434,6.364756758501532e-21,2.814790459231438e-20,HuT78_vs_HH,ENSG00000064692,SNCAIP,protein_coding,Down
ENSG00000104267.12,1818.4101533346911,-12.510291884774936,0.9980227142536738,2.7596289517808025e-35,2.162732659564594e-34,HuT78_vs_HH,ENSG00000104267,CA2,protein_coding,Down
ENSG00000021355.15,1411.774294408608,-12.496875470757239,1.318850428373716,6.613805169198641e-27,3.762449706249057e-26,HuT78_vs_HH,ENSG00000021355,SERPINB1,protein_coding,Down
ENSG00000196440.13,121.86027092981298,-12.469312622468143,3.470917809836405,5.820011351661196e-12,1.6402926373174558e-11,HuT78_vs_HH,ENSG00000196440,ARMCX4,protein_coding,Down
ENSG00000198796.9,935.677156193257,-12.445065998589659,1.320237770205417,1.3345251983939662e-26,7.522866310842803e-26,HuT78_vs_HH,ENSG00000198796,ALPK2,protein_coding,Down
ENSG00000082269.19,251.31501188383342,-12.301751169015374,3.190893909810432,1.3127644333257338e-20,5.733665837645539e-20,HuT78_vs_HH,ENSG00000082269,FAM135A,protein_coding,Down
ENSG00000187912.12,97.67612709076802,-12.265772194159585,3.189990474601016,5.578525356469501e-20,2.3468341178459327e-19,HuT78_vs_HH,ENSG00000187912,CLEC17A,protein_coding,Down
ENSG00000180287.18,140.95832138850727,-12.260566260252658,3.191769328686129,3.844484512663422e-20,1.6326219176781487e-19,HuT78_vs_HH,ENSG00000180287,PLD5,protein_coding,Down
ENSG00000185630.21,470.38144077201486,-12.187079785405857,1.318958279066204,1.3072480997849794e-25,7.104822554002351e-25,HuT78_vs_HH,ENSG00000185630,PBX1,protein_coding,Down
ENSG00000127955.19,180.03209282885717,-12.171384975929579,3.1679618011652684,2.8848908040414525e-20,1.2323428990190838e-19,HuT78_vs_HH,ENSG00000127955,GNAI1,protein_coding,Down
ENSG00000196126.14,6140.613719940749,-12.161850688541898,0.509084380156724,6.370220471621337e-124,2.9233480072760873e-122,HuT78_vs_HH,ENSG00000196126,HLA-DRB1,protein_coding,Down
ENSG00000166446.17,779.9013197291455,-12.137675292020297,3.17008398707294,2.792653717265184e-20,1.193332980233349e-19,HuT78_vs_HH,ENSG00000166446,CDYL2,protein_coding,Down
ENSG00000198108.5,132.06109548194974,-12.11775928764323,3.1744584717852966,8.10351871375991e-20,3.3796211006858533e-19,HuT78_vs_HH,ENSG00000198108,CHSY3,protein_coding,Down
ENSG00000166482.14,82.13850098101673,-12.110956172883903,3.178274812568103,1.5761058302588944e-19,6.473806267180641e-19,HuT78_vs_HH,ENSG00000166482,MFAP4,protein_coding,Down
