Geneid,module,Ensembl,gene_symbol,gene_type
ENSG00000137806.12,Module 1,ENSG00000137806,NDUFAF1,protein_coding
ENSG00000233276.10,Module 5,ENSG00000233276,GPX1,protein_coding
ENSG00000104213.15,Module 1,ENSG00000104213,PDGFRL,protein_coding
ENSG00000084676.18,Module 3,ENSG00000084676,NCOA1,protein_coding
ENSG00000214279.14,Module 1,ENSG00000214279,SCART1,protein_coding
ENSG00000113580.17,Module 3,ENSG00000113580,NR3C1,protein_coding
ENSG00000111885.9,Module 4,ENSG00000111885,MAN1A1,protein_coding
ENSG00000175155.12,Module 1,ENSG00000175155,YPEL2,protein_coding
ENSG00000124766.7,Module 4,ENSG00000124766,SOX4,protein_coding
ENSG00000119042.20,Module 4,ENSG00000119042,SATB2,protein_coding
ENSG00000136153.23,Module 4,ENSG00000136153,LMO7,protein_coding
ENSG00000151917.20,Module 3,ENSG00000151917,BEND6,protein_coding
ENSG00000104549.14,Module 3,ENSG00000104549,SQLE,protein_coding
ENSG00000049246.17,Module 3,ENSG00000049246,PER3,protein_coding
ENSG00000059378.15,Module 1,ENSG00000059378,PARP12,protein_coding
ENSG00000065882.20,Module 5,ENSG00000065882,TBC1D1,protein_coding
ENSG00000155111.17,Module 1,ENSG00000155111,CDK19,protein_coding
ENSG00000167799.12,Module 1,ENSG00000167799,NUDT8,protein_coding
ENSG00000198033.14,Module 3,ENSG00000198033,TUBA3C,protein_coding
ENSG00000164830.20,Module 3,ENSG00000164830,OXR1,protein_coding
ENSG00000106789.15,Module 3,ENSG00000106789,CORO2A,protein_coding
ENSG00000079263.21,Module 3,ENSG00000079263,SP140,protein_coding
ENSG00000051620.13,Module 3,ENSG00000051620,HEBP2,protein_coding
ENSG00000213190.6,Module 3,ENSG00000213190,MLLT11,protein_coding
ENSG00000050628.23,Module 1,ENSG00000050628,PTGER3,protein_coding
ENSG00000183011.16,Module 1,ENSG00000183011,NAA38,protein_coding
ENSG00000158747.17,Module 3,ENSG00000158747,NBL1,protein_coding
ENSG00000166130.16,Module 1,ENSG00000166130,IKBIP,protein_coding
ENSG00000117479.17,Module 3,ENSG00000117479,SLC19A2,protein_coding
ENSG00000153250.23,Module 5,ENSG00000153250,RBMS1,protein_coding
ENSG00000083857.17,Module 1,ENSG00000083857,FAT1,protein_coding
ENSG00000139926.18,Module 1,ENSG00000139926,FRMD6,protein_coding
ENSG00000162694.16,Module 1,ENSG00000162694,EXTL2,protein_coding
ENSG00000175215.12,Module 3,ENSG00000175215,CTDSP2,protein_coding
ENSG00000128311.16,Module 1,ENSG00000128311,TST,protein_coding
ENSG00000111328.8,Module 1,ENSG00000111328,CDK2AP1,protein_coding
ENSG00000154822.20,Module 4,ENSG00000154822,PLCL2,protein_coding
ENSG00000175745.15,Module 4,ENSG00000175745,NR2F1,protein_coding
ENSG00000132563.19,Module 1,ENSG00000132563,REEP2,protein_coding
ENSG00000071246.12,Module 5,ENSG00000071246,VASH1,protein_coding
ENSG00000136267.16,Module 1,ENSG00000136267,DGKB,protein_coding
ENSG00000169641.16,Module 1,ENSG00000169641,LUZP1,protein_coding
ENSG00000059758.10,Module 2,ENSG00000059758,CDK17,protein_coding
ENSG00000177853.17,Module 1,ENSG00000177853,ZNF518A,protein_coding
ENSG00000205593.14,Module 1,ENSG00000205593,DENND6B,protein_coding
ENSG00000162614.21,Module 3,ENSG00000162614,NEXN,protein_coding
ENSG00000142733.20,Module 1,ENSG00000142733,MAP3K6,protein_coding
ENSG00000181830.11,Module 1,ENSG00000181830,SLC35C1,protein_coding
ENSG00000137491.17,Module 3,ENSG00000137491,SLCO2B1,protein_coding
ENSG00000165434.10,Module 6,ENSG00000165434,PGM2L1,protein_coding
ENSG00000100852.15,Module 3,ENSG00000100852,ARHGAP5,protein_coding
ENSG00000114541.17,Module 1,ENSG00000114541,FRMD4B,protein_coding
ENSG00000074370.21,Module 1,ENSG00000074370,ATP2A3,protein_coding
ENSG00000160712.15,Module 3,ENSG00000160712,IL6R,protein_coding
ENSG00000135362.16,Module 1,ENSG00000135362,PRR5L,protein_coding
ENSG00000118640.13,Module 4,ENSG00000118640,VAMP8,protein_coding
ENSG00000095794.22,Module 1,ENSG00000095794,CREM,protein_coding
ENSG00000067798.17,Module 1,ENSG00000067798,NAV3,protein_coding
ENSG00000174871.12,Module 3,ENSG00000174871,CNIH2,protein_coding
ENSG00000118308.18,Module 1,ENSG00000118308,IRAG2,protein_coding
ENSG00000011143.21,Module 5,ENSG00000011143,MKS1,protein_coding
ENSG00000160285.17,Module 3,ENSG00000160285,LSS,protein_coding
ENSG00000090020.13,Module 1,ENSG00000090020,SLC9A1,protein_coding
ENSG00000133935.9,Module 3,ENSG00000133935,ERG28,protein_coding
ENSG00000288920.3,Module 1,ENSG00000288920,RPSA2,protein_coding
ENSG00000172671.22,Module 1,ENSG00000172671,ZFAND4,protein_coding
ENSG00000158856.20,Module 1,ENSG00000158856,DMTN,protein_coding
ENSG00000178585.17,Module 3,ENSG00000178585,CTNNBIP1,protein_coding
ENSG00000181827.18,Module 1,ENSG00000181827,RFX7,protein_coding
ENSG00000074603.21,Module 1,ENSG00000074603,DPP8,protein_coding
ENSG00000188958.12,Module 3,ENSG00000188958,UTS2B,protein_coding
ENSG00000184371.16,Module 1,ENSG00000184371,CSF1,protein_coding
ENSG00000159788.22,Module 1,ENSG00000159788,RGS12,protein_coding
ENSG00000113916.19,Module 1,ENSG00000113916,BCL6,protein_coding
